marianne,look total pink,mami watta arrive en eau,look total blue,ref à jean paul gautier,et gêne,personne ne parle de l'absence de kiddy
https://bingobaker.com/view/9179708,look total red,référence aux JO,cameo d'une drag queen d'une autre saison !,ça parle d'alliances,"hors de nos luttes amphet",qqn fait un coming out
énorme flop intersidéral,qqn est bizarrement sexualisé-e,trauma dumping (qqn pleure),le talon faible est de retour,qqn tombe (pas fait exprès),relation avec les parents,mental breakdown
kam hugh arrive en pigeon,rupaul apparition !,nicky dit de la merde,bertha fait la gueule,le jury prend une décision incompréhensible,look total white,"je suis trop dans ma tête" ➔ bottom 2
look total black,french drag excellence 🇫🇷,drag républicaine,daphné sort une critique brutale,un nouveau dans le pit crew !,moment cringe,shocked face
malaise,qqn recommence son look à ZÉRO,drag "ethnique",on voit un cul,ref à mugler,tenue hideuse dans les candidates,qqn qui ne sait pas coudre finit en top and qqn qui sait coudre finit en bottom
être gay dans certains pays "c'est très dur",Mami Watta est nue,tenue hideuse dans le jury,qqn fait une référence à la mort de marion cotillard,une fringue se pète,thomas jolly pleure,les drags kings reviennent (2 secondes)
