look total black,être gay dans certains pays "c'est très dur",https://bingobaker.com/view/9179708,énorme flop intersidéral,kam hugh arrive en pigeon,qqn fait une référence à la mort de marion cotillard,référence aux JO
thomas jolly pleure,qqn qui ne sait pas coudre finit en top and qqn qui sait coudre finit en bottom,on voit un cul,cameo d'une drag queen d'une autre saison !,nicky dit de la merde,shocked face,le talon faible est de retour
tenue hideuse dans les candidates,ref à mugler,malaise,tenue hideuse dans le jury,moment cringe,look total red,personne ne parle de l'absence de kiddy
rupaul apparition !,et gêne,daphné sort une critique brutale,mental breakdown,Mami Watta est nue,qqn est bizarrement sexualisé-e,bertha fait la gueule
qqn fait un coming out,qqn recommence son look à ZÉRO,mami watta arrive en eau,les drags kings reviennent (2 secondes),look total pink,look total white,ref à jean paul gautier
trauma dumping (qqn pleure),qqn tombe (pas fait exprès),ça parle d'alliances,"hors de nos luttes amphet",french drag excellence 🇫🇷,un nouveau dans le pit crew !,marianne
"je suis trop dans ma tête" ➔ bottom 2,look total blue,une fringue se pète,drag "ethnique",drag républicaine,le jury prend une décision incompréhensible,relation avec les parents
